No,; Time ;Source;Destination;Protocol;Length;Info;;;;;;;;;;;time 1;time2;delay;;delay 1;delay 2;jitter
9; 15,076,678 ;192,168,100,56;203,205,219,54;TCP;55;52334  >  80 [ACK] Seq=1 Ack=1 Win=64032 Len=1;;;;;;;;;;; 15,076,678 ; 15,112,110 ; 35,432 ;;-7,512,021 ; 35,432 ; 7,547,453 
10; 15,112,110 ;203,205,219,54;192,168,100,56;TCP;54;80  >  52334 [ACK] Seq=1 Ack=2 Win=4944 Len=0;;;;;;;;;;; 15,112,110 ; 22,659,563 ; 7,547,453 ;; 7,547,119 ; 7,547,453 ; 334 
13; 22,659,563 ;192,168,100,56;115,146,117,93;TCP;54;52417  >  443 [FIN, ACK] Seq=1 Ack=1 Win=509 Len=0;;;;;;;;;;; 22,659,563 ; 22,659,897 ; 334 ;;-63,764 ; 334 ; 64,098 
14; 22,659,897 ;192,168,100,56;40,81,30,101;TCP;54;52416  >  443 [FIN, ACK] Seq=1 Ack=1 Win=507 Len=0;;;;;;;;;;; 22,659,897 ; 22,723,995 ; 64,098 ;; 64,098 ; 64,098 ; - 
15; 22,723,995 ;115,146,117,93;192,168,100,56;TLSv1,2;85;Encrypted Alert;;;;;;;;;;; 22,723,995 ; 22,723,995 ; - ;; - ; - ; - 
16; 22,723,995 ;115,146,117,93;192,168,100,56;TCP;54;443  >  52417 [FIN, ACK] Seq=32 Ack=2 Win=270 Len=0;;;;;;;;;;; 22,723,995 ; 22,723,995 ; - ;;-45 ; - ; 45 
17; 22,723,995 ;40,81,30,101;192,168,100,56;TCP;54;443  >  52416 [FIN, ACK] Seq=1 Ack=2 Win=2048 Len=0;;;;;;;;;;; 22,723,995 ; 22,724,040 ; 45 ;;-29 ; 45 ; 74 
18; 22,724,040 ;192,168,100,56;115,146,117,93;TCP;54;52417  >  443 [RST, ACK] Seq=2 Ack=32 Win=0 Len=0;;;;;;;;;;; 22,724,040 ; 22,724,114 ; 74 ;;-3,389,394 ; 74 ; 3,389,468 
19; 22,724,114 ;192,168,100,56;40,81,30,101;TCP;54;52416  >  443 [ACK] Seq=2 Ack=2 Win=507 Len=0;;;;;;;;;;; 22,724,114 ; 26,113,582 ; 3,389,468 ;; 3,389,468 ; 3,389,468 ; - 
20; 26,113,582 ;117,18,232,200;192,168,100,56;TLSv1,2;118;Application Data;;;;;;;;;;; 26,113,582 ; 26,113,582 ; - ;; - ; - ; - 
21; 26,113,582 ;117,18,232,200;192,168,100,56;TLSv1,2;85;Encrypted Alert;;;;;;;;;;; 26,113,582 ; 26,113,582 ; - ;;-56 ; - ; 56 
22; 26,113,582 ;117,18,232,200;192,168,100,56;TCP;54;443  >  52409 [FIN, ACK] Seq=96 Ack=1 Win=133 Len=0;;;;;;;;;;; 26,113,582 ; 26,113,638 ; 56 ;;-23,025,325 ; 56 ; 23,025,381 
23; 26,113,638 ;192,168,100,56;117,18,232,200;TCP;54;52409  >  443 [ACK] Seq=1 Ack=97 Win=1019 Len=0;;;;;;;;;;; 26,113,638 ; 49,139,019 ; 23,025,381 ;; 22,024,731 ; 23,025,381 ; 1,000,650 
26; 49,139,019 ;192,168,100,56;58,251,106,185;TCP;66;52426  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=2 SACK_PERM=1;;;;;;;;;;; 49,139,019 ; 50,139,669 ; 1,000,650 ;;-846,452 ; 1,000,650 ; 1,847,102 
